movieId,imdbId,tmdbId,Average_rating,release_years,awards_won,bo_collection,duration
1,114709,862.0,3.8724696356275294,1999,1,66846,86
2,113497,8844.0,3.4018691588785046,1964,2,96448,95
3,113228,15602.0,3.1610169491525424,1952,7,66705,115
4,114885,31357.0,2.3846153846153846,1904,8,70019,128
5,113041,11862.0,3.267857142857143,2002,6,56562,66
6,113277,949.0,3.8846153846153846,1991,4,64558,66
7,114319,11860.0,3.2830188679245285,1980,9,82434,122
8,112302,45325.0,3.8,1958,0,76284,109
9,114576,9091.0,3.15,2014,2,93033,60
10,113189,710.0,3.450819672131148,1988,9,62624,105
11,112346,9087.0,3.6890243902439024,1911,9,77142,102
12,112896,12110.0,2.861111111111111,1970,6,61045,124
13,112453,21032.0,3.9375,1908,0,58200,74
14,113987,10858.0,3.4516129032258065,1928,1,78872,125
15,112760,1408.0,2.3181818181818183,2002,1,96853,81
16,112641,524.0,3.948863636363636,1953,8,93359,128
17,114388,4584.0,3.924418604651162,1942,4,92513,74
18,113101,5.0,3.2884615384615383,2010,3,85453,71
19,112281,9273.0,2.597826086956522,1935,3,93726,103
20,113845,11517.0,2.5384615384615383,1921,8,96919,85
21,113161,8012.0,3.536842105263158,1964,4,56757,120
22,112722,1710.0,3.3552631578947367,1919,9,96247,117
23,112401,9691.0,3.090909090909091,1925,5,99707,94
24,114168,12665.0,3.044117647058824,1926,6,93647,121
25,113627,451.0,3.742574257425743,1928,1,50664,102
26,114057,16420.0,4.1,2019,8,63310,110
27,114011,9263.0,3.142857142857143,1994,5,97861,76
28,114117,17015.0,4.083333333333333,1994,3,61164,121
29,112682,902.0,4.025,1939,7,67089,120
30,115012,37557.0,4.05,1976,6,93340,116
31,112792,9909.0,3.1785714285714284,1957,9,97539,117
32,114746,63.0,3.923469387755102,1994,6,63612,121
34,112431,9598.0,3.6013513513513518,1953,8,65140,126
35,112637,47018.0,3.5454545454545454,2007,8,89833,113
36,112818,687.0,3.9375,1958,4,87035,109
37,112286,139405.0,2.0,1916,3,64458,85
38,113442,33689.0,2.0,1948,8,90258,110
39,112697,9603.0,3.55,1967,2,85978,63
40,112749,34615.0,3.9166666666666665,1962,0,91954,62
41,114279,31174.0,4.021739130434782,1955,0,89996,129
42,112819,11443.0,2.333333333333333,1989,0,90098,116
